offer_id,year_built,building_series,garbage_chute,elevators,building_type,ceiling_type,parking,entrances,heating,emergency,gas_supply
252768481,1972,,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,
199570370,1959,Индивидуальный проект,Нет,1 пассажирский,Кирпичный,Нет информации,,13,Центральное,Нет,Центральное
166163447,1970,Башня Вулыха,Да,2 пассажирских,Кирпичный,Железобетонные,Подземная,1,Центральное,Нет,
164777045,1952,Индивидуальный проект,,1 пассажирский,,Нет информации,,2,Центральное,Нет,
164708200,1961,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,3,Центральное,Нет,Центральное
162193182,1965,Индивидуальный проект,Да,1 пассажирский,,Железобетонные,Наземная,3,Центральное,Нет,Центральное
161928651,1958,II-04,,1 пассажирский,Кирпичный,Железобетонные,,2,Центральное,Нет,Центральное
315928663,2021,Индивидуальный проект,Да,"2 пассажирских, 1 грузовой",Монолитный,Железобетонные,Подземная,4,Центральное,Нет,
314717237,,,,1 пассажирский,,,Наземная,,,,
315523211,1970,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,
315227868,1955,Индивидуальный проект,,2 пассажирских,Кирпичный,Железобетонные,Наземная,4,Центральное,Нет,
287756063,1969,Индивидуальный проект,Да,2 пассажирских,Блочный,Железобетонные,Наземная,2,Центральное,Нет,
198394022,1961,Индивидуальный проект,Да,,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
314690850,1958,Индивидуальный проект,Да,1 пассажирский,Блочный,Железобетонные,,4,Центральное,Нет,Центральное
315468710,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315905263,1962,Индивидуальный проект,,,,Железобетонные,Наземная,6,Центральное,Нет,Центральное
315688974,1965,,,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
182246958,1955,,,1 пассажирский,Кирпичный,Железобетонные,Наземная,8,Центральное,Нет,
316063232,,,,1 пассажирский,Кирпичный,,,,,,
316061559,1928,Индивидуальный проект,,,Кирпичный,Деревянные,,5,Центральное,Нет,Центральное
316060615,1966,II-18-01/12,,"2 пассажирских, 1 грузовой",Блочный,Железобетонные,,2,Центральное,Нет,
316039075,1967,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
316031652,1966,II-18-01/12,Да,"2 пассажирских, 1 грузовой",Блочный,Железобетонные,Наземная,2,Центральное,Нет,
316027445,1967,Индивидуальный проект,,,Панельный,Железобетонные,,1,Центральное,Нет,
316020511,1957,Индивидуальный проект,,,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
316016115,1960,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,7,Центральное,Нет,Центральное
316015200,1963,Индивидуальный проект,Да,2 пассажирских,Монолитный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
316006051,1958,Индивидуальный проект,,1 пассажирский,Блочный,Железобетонные,Открытая,4,Центральное,Нет,Центральное
316003714,1935,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315998815,1972,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,
315988478,1967,Индивидуальный проект,Да,2 пассажирских,Панельный,Железобетонные,,1,Центральное,Нет,
315986368,1965,,Да,"1 пассажирский, 1 грузовой",,Нет информации,Наземная,5,Центральное,Нет,Центральное
315985003,1931,Индивидуальный проект,,,,Нет информации,Наземная,6,Центральное,Нет,Центральное
315982292,1962,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315977648,1926,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315963981,1907,Индивидуальный проект,,,,Смешанные,Наземная,2,Центральное,Нет,Центральное
315962374,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,2,Центральное,Нет,Центральное
315960228,1978,Индивидуальный проект,Да,1 пассажирский,,Железобетонные,Наземная,1,Центральное,Нет,
315957488,1960,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,9,Центральное,Нет,Центральное
315940995,1959,Индивидуальный проект,,,Кирпичный,Железобетонные,,3,Центральное,Нет,Центральное
315938837,1981,Индивидуальный проект,,2 пассажирских,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315934380,1958,Индивидуальный проект,Да,1 пассажирский,Блочный,Железобетонные,,4,Центральное,Нет,Центральное
315933413,1931,Индивидуальный проект,Да,,,Нет информации,Наземная,6,Центральное,Нет,Центральное
315916928,,,,1 пассажирский,,,Наземная,,,,
315915558,1960,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,7,Центральное,Нет,Центральное
315911384,1946,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
315910730,1963,II-18,,1 пассажирский,Блочный,Железобетонные,,1,Центральное,Нет,Центральное
315909802,1929,Индивидуальный проект,,,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315907723,1967,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,,1,Центральное,Нет,
315905314,1962,Индивидуальный проект,,,,Нет информации,,4,Центральное,Нет,Центральное
315904699,,,,,Кирпичный,,,,,,
315904568,,,,1 пассажирский,,,,,,,
315900473,1964,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315900371,1959,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Нет информации,Наземная,13,Центральное,Нет,Центральное
315898658,1967,Индивидуальный проект,Да,2 пассажирских,Панельный,Железобетонные,,1,Центральное,Нет,
315897929,1986,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,,3,Центральное,Нет,
315890062,1962,II-18,Да,1 пассажирский,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315859046,1964,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315855718,1928,Индивидуальный проект,,,Кирпичный,Деревянные,Наземная,5,Центральное,Нет,Центральное
315827935,1964,II-18,Да,1 пассажирский,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315778278,1978,Индивидуальный проект,Да,1 пассажирский,,Железобетонные,,1,Центральное,Нет,
315778004,1971,Индивидуальный проект,Да,2 пассажирских,,Железобетонные,,4,Центральное,Нет,
315754970,1966,II-18,,2 пассажирских,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315751488,1963,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315730547,1945,Индивидуальный проект,Да,2 пассажирских,Кирпичный,Железобетонные,,19,Центральное,Нет,
315729152,1962,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,4,Центральное,Нет,Центральное
315720394,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,5,Центральное,Нет,Центральное
315718474,1962,Индивидуальный проект,,,,Нет информации,,4,Центральное,Нет,Центральное
315713851,1952,Индивидуальный проект,,1 пассажирский,,Нет информации,Открытая,2,Центральное,Нет,
315711187,1962,Индивидуальный проект,Да,,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315698560,1969,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Блочный,Железобетонные,Наземная,2,Центральное,Нет,
315690340,1953,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,22,Центральное,Нет,Центральное
315651956,1962,II-18,Да,1 пассажирский,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315648902,1964,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,10,Центральное,Нет,Центральное
315643332,1966,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
315629964,1946,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
315628189,1928,,,,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315614690,1961,,,,Панельный,Железобетонные,Открытая,3,Центральное,Нет,Центральное
315612161,1963,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315587764,1950,Индивидуальный проект,,1 пассажирский,Монолитный,Железобетонные,Наземная,4,Центральное,Нет,Центральное
315585856,1961,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315581814,1964,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,10,Центральное,Нет,Центральное
315564173,1969,Индивидуальный проект,,1 пассажирский,Блочный,Железобетонные,,2,Центральное,Нет,
315560950,1964,Индивидуальный проект,Да,2 пассажирских,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
315522128,1957,Индивидуальный проект,,2 пассажирских,,Нет информации,Наземная,8,Центральное,Нет,Центральное
315451411,1945,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,19,Центральное,Нет,
315445673,1973,Индивидуальный проект,Да,2 пассажирских,Блочный,Железобетонные,Наземная,1,Центральное,Нет,
315443864,1966,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,4,Центральное,Нет,Центральное
315429278,1965,Индивидуальный проект,Да,1 пассажирский,,Железобетонные,Наземная,4,Центральное,Нет,Центральное
315392787,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,9,Центральное,Нет,Центральное
315351421,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315314773,1935,Индивидуальный проект,,,Кирпичный,Деревянные,Наземная,4,Центральное,Нет,Центральное
315304762,1963,II-18,Да,1 пассажирский,Блочный,Железобетонные,,1,Центральное,Нет,Центральное
315268246,1965,Индивидуальный проект,,2 пассажирских,Кирпичный,Железобетонные,Наземная,6,Центральное,Нет,
315248123,1926,Индивидуальный проект,,,Кирпичный,Смешанные,,2,Центральное,Нет,Центральное
315247918,1973,И-209А,Да,2 пассажирских,Монолитный,Железобетонные,,1,Центральное,Нет,
315118882,1970,Индивидуальный проект,Да,,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,
315111390,1962,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
315083863,1966,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
315078260,1960,Индивидуальный проект,,1 пассажирский,Кирпичный,Нет информации,Открытая,4,Центральное,Нет,Центральное
315056181,1967,II-18,,2 пассажирских,Блочный,Железобетонные,Наземная,1,Центральное,Нет,
315036193,1972,И-209А,Да,1 пассажирский,,Железобетонные,Наземная,1,Центральное,Нет,
315006192,1978,Индивидуальный проект,,,,Железобетонные,,1,Центральное,Нет,
315002966,1962,Индивидуальный проект,,1 пассажирский,Монолитный,Железобетонные,Открытая,3,Центральное,Нет,Центральное
314996951,1967,,,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
314972514,1958,,,1 пассажирский,Кирпичный,Железобетонные,,3,Центральное,Нет,Центральное
314946091,1931,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,
314945210,1963,,Да,1 пассажирский,Кирпичный,Железобетонные,,4,Центральное,Нет,Центральное
314941425,1900,Индивидуальный проект,,,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
314939405,1957,,,"1 пассажирский, 1 грузовой",,Нет информации,,6,Центральное,Нет,
314911723,1975,Индивидуальный проект,,"1 пассажирский, 1 грузовой",,Нет информации,Наземная,1,Нет информации,Нет,
314909530,1961,,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
314900735,1972,Индивидуальный проект,,2 пассажирских,,Железобетонные,Открытая,1,Центральное,Нет,
314897737,1954,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
314886750,1959,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
314849209,1958,,,,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
314773176,1975,,Да,"2 пассажирских, 1 грузовой",Панельный,Железобетонные,Наземная,1,Центральное,Нет,
314767178,1953,Индивидуальный проект,,1 пассажирский,Кирпичный,Смешанные,,2,Центральное,Нет,Центральное
314676517,1961,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
314525238,1965,Индивидуальный проект,,,Кирпичный,Железобетонные,,6,Центральное,Нет,Центральное
314525237,1965,Индивидуальный проект,,,Кирпичный,Железобетонные,,6,Центральное,Нет,Центральное
314492366,1996,,Да,1 грузовой,,Нет информации,Подземная,2,Центральное,Нет,
314478894,1953,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,Наземная,22,Центральное,Нет,Центральное
314391529,,,,1 пассажирский,Сталинский,,,,,,
314330220,1999,Индивидуальный проект,Да,"2 пассажирских, 1 грузовой",Панельный,Железобетонные,Наземная,2,Центральное,Нет,
314329494,1969,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Блочный,Железобетонные,,2,Центральное,Нет,
314327404,1980,Индивидуальный проект,Да,2 пассажирских,Кирпичный,Железобетонные,,2,Центральное,Нет,
314317233,1933,Индивидуальный проект,,,Кирпичный,Деревянные,Наземная,1,Центральное,Нет,Центральное
314199354,1926,,,1 пассажирский,Кирпичный,Деревянные,Наземная,5,Центральное,Нет,Центральное
314152463,1957,Индивидуальный проект,Да,,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
314094610,1977,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,,6,Центральное,Нет,Центральное
314088314,1967,Индивидуальный проект,Да,1 пассажирский,Панельный,Железобетонные,Наземная,6,Центральное,Нет,Центральное
314064240,,,Да,1 пассажирский,,,Наземная,,,,
314011077,1976,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",,Железобетонные,Наземная,9,Центральное,Нет,Центральное
313918082,1967,II-18,Да,2 пассажирских,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
313864937,1963,II-18,Да,1 пассажирский,Блочный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
313729695,1957,,,2 пассажирских,,Нет информации,Открытая,6,Центральное,Нет,
313689777,1966,Индивидуальный проект,Да,,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
313492003,1977,,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,,1,Центральное,Нет,
313445775,1971,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,4,Центральное,Нет,Центральное
313423014,1957,,,2 пассажирских,,Нет информации,Наземная,6,Центральное,Нет,
313038215,1967,Индивидуальный проект,Да,2 пассажирских,Панельный,Железобетонные,Наземная,6,Центральное,Нет,Центральное
312685160,1960,Индивидуальный проект,,,,Нет информации,Наземная,9,Центральное,Нет,Центральное
312677059,1960,,,,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
312673761,1954,Индивидуальный проект,,1 пассажирский,,Нет информации,,5,Центральное,Нет,Центральное
312246667,1976,Индивидуальный проект,Да,2 пассажирских,Кирпичный,Железобетонные,,1,Центральное,Нет,
312195522,1961,Индивидуальный проект,,,Кирпичный,Железобетонные,Наземная,4,Центральное,Нет,Центральное
311665244,1978,Индивидуальный проект,,1 пассажирский,,Железобетонные,Наземная,1,Центральное,Нет,
311659644,1978,Индивидуальный проект,,1 пассажирский,,Железобетонные,Наземная,1,Центральное,Нет,
310792342,1961,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,,5,Центральное,Нет,Центральное
310783742,1978,Индивидуальный проект,,1 пассажирский,,Железобетонные,Наземная,1,Центральное,Нет,
310778746,1964,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
310660324,1979,Индивидуальный проект,Да,2 пассажирских,,Железобетонные,Наземная,4,Центральное,Нет,
310193855,1966,,Да,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
309980505,1962,Индивидуальный проект,,,,Железобетонные,Наземная,6,Центральное,Нет,Центральное
308782939,1941,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,8,Центральное,Нет,Центральное
308110692,1970,Индивидуальный проект,Да,1 пассажирский,,Железобетонные,Наземная,4,Центральное,Нет,Центральное
305603631,1928,,Да,,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
303814497,1926,,,,Кирпичный,Деревянные,Наземная,5,Центральное,Нет,Центральное
303112257,1973,И-209А,Да,2 пассажирских,Монолитный,Железобетонные,Наземная,1,Центральное,Нет,
300772703,1963,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,3,Центральное,Нет,Центральное
